,Unnamed: 0,nutrition_amount,calories,fat,Carbohydrate,Protein,ingredients_name,ingredients_amount,equipment,ingred_unit,ingred_qunatity,url,tags_n_allergens,name,tags,allergens
1208,1336,"['2824 kJ', '675 kcal', '33.0 g', '13.0 g', '66 g', '18.0 g', '0 g', '29 g', '0 mg', '4.0 g']",675,33,66,29,"['Yellow Pepper', 'Red Onion', 'Ground Coriander', 'Echalion Shallot', 'Garlic Clove', 'Sundried Tomatoes', 'Coriander', 'Tomato Puree', 'Bulgur Wheat', 'Vegetable Stock Pot', 'Pine Nuts', 'Lemon', 'Mozzarella', 'Panko Breadcrumbs', 'Rocket', 'Water', 'Olive Oil']","['2 unit(s)', '1 unit(s)', '1.5 tsp', '1 unit(s)', '1 unit(s)', '30 grams', '?? bunch(es)', '2 tbsp', '100 grams', '?? unit(s)', '25 grams', '?? unit(s)', '1 ball(s)', '20 grams', '1 bag(s)', '200 milliliter(s)', '1 tbsp']","['Knife', 'Baking Tray', 'Frying Pan']","['unit(s)', 'unit(s)', 'tsp', 'unit(s)', 'unit(s)', 'grams', 'bunch(es)', 'tbsp', 'grams', 'unit(s)', 'grams', 'unit(s)', 'ball(s)', 'grams', 'bag(s)', 'milliliter(s)', 'tbsp']","[2.0, 1.0, 1.5, 1.0, 1.0, 30.0, 2.0, 100.0, 25.0, 1.0, 20.0, 1.0, 200.0, 1.0]",https://www.hellofresh.co.uk/recipes/tomatoey-bulgur-and-mozzarella-s-58230fcabddea1131c656b12,"['Tags:Veggie', 'Allergens:Gluten?€?Celery?€?Sulphites?€?Nuts?€?Milk']",Tomatoey Bulgur and Mozzarella Stuffed Peppers,['Veggie'],"['Gluten', 'Celery', 'Sulphites', 'Nuts', 'Milk']"
133,141,"['2485 kJ', '594 kcal', '32.0 g', '15.0 g', '73 g', '30.0 g', '0 g', '19 g', '0 mg', '2.0 g']",594,32,73,19,"['Red Onion', 'Garlic Clove', 'Thyme', 'Panko Breadcrumbs', 'Grated Hard Italian Style Cheese', 'Vegetable Stock Powder', 'Sweet Potato', 'Parsnip', 'Cavolo Nero', 'Creme Fraiche', 'Wholegrain Mustard', 'Rocket', 'Water for the Sauce']","['2 unit(s)', '1 unit(s)', '?? bunch(es)', '10 grams', '1 pack(s)', '1 sachet', '1 unit(s)', '2 unit(s)', '1 bag(s)', '1 pack(s)', '1 pot(s)', '1 bag(s)', '150 milliliter(s)']","['Cutting board', 'Garlic Press', 'Grater', 'Knife', 'Saucepan', 'Frying Pan', 'Sieve', 'Baking Tray']","['unit(s)', 'unit(s)', 'bunch(es)', 'grams', 'pack(s)', 'sachet', 'unit(s)', 'unit(s)', 'bag(s)', 'pack(s)', 'pot(s)', 'bag(s)', 'milliliter(s)']","[2.0, 1.0, 10.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 150.0]",https://www.hellofresh.co.uk/recipes/sweet-potato-and-parsnip-gratin-5d9cbe92e681b825be5edf5c,"['Tags:Under 600 calories', 'Allergens:Gluten?€?Milk?€?Egg?€?Celery?€?Mustard']",Sweet Potato and Parsnip Gratin,['Under 600 calories'],"['Gluten', 'Milk', 'Egg', 'Celery', 'Mustard']"
513,575,"['2690 kJ', '643 kcal', '14.0 g', '5.0 g', '88 g', '14.0 g', '0 g', '37 g', '0 mg', '5.59 g']",643,14,88,37,"['Garlic Clove', 'Flat Leaf Parsley', 'Sundried Tomatoes', 'King Prawns', 'Dried Spaghetti', 'Chorizo', 'Tomato Passata', 'Chilli Flakes', 'Tomato Puree', 'Water']","['2 unit(s)', '?? bunch(es)', '1 pot(s)', '150 grams', '200 grams', '60 grams', '1 pack(s)', '1 pinch', '1 sachet', '100 milliliter(s)']",[],"['unit(s)', 'bunch(es)', 'pot(s)', 'grams', 'grams', 'grams', 'pack(s)', 'sachet', 'milliliter(s)']","[2.0, 1.0, 150.0, 200.0, 60.0, 1.0, 1.0, 1.0, 100.0]",https://www.hellofresh.co.uk/recipes/prawn-and-chorizo-spaghetti-5cfa63e4d8a871000813eb72,"['Tags:Spicy', 'Allergens:Crustaceans?€?Gluten?€?Milk']",Prawn and Chorizo Spaghetti,['Spicy'],"['Crustaceans', 'Gluten', 'Milk']"
864,961,"['2356 kJ', '563 kcal', '12.0 g', '5.0 g', '75 g', '15.0 g', '0 g', '38 g', '0 mg', '2.01 g']",563,12,75,38,"['Red Onion', 'Green Pepper', 'King Prawns', 'Diced Chicken Thigh', 'Poudre de Columbo', 'Tomato Puree', 'Basmati Rice', 'Chicken Stock Pot', 'Carrot', 'Mint', 'Greek Yoghurt', 'Lemon', 'Baby Spinach', 'Water']","['2 unit(s)', '1 unit(s)', '180 grams', '280 grams', '1 tbsp', '30 grams', '300 grams', '1 pot(s)', '2 unit(s)', '1 bunch(es)', '1 pot(s)', '1 unit(s)', '1 bag(s)', '600 milliliter(s)']","['Cutting board', 'Knife', 'Saucepan', 'Spoon', 'Grater', 'Bowl', 'Fork']","['unit(s)', 'unit(s)', 'grams', 'grams', 'tbsp', 'grams', 'grams', 'pot(s)', 'unit(s)', 'bunch(es)', 'pot(s)', 'unit(s)', 'bag(s)', 'milliliter(s)']","[2.0, 1.0, 180.0, 280.0, 1.0, 30.0, 300.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 600.0]",https://www.hellofresh.co.uk/recipes/chicken-prawn-pilaf-5acf8ffaae08b5472d5bdee2,"['Tags:Family Box', 'Allergens:Crustaceans?€?Mustard?€?Milk']",Chicken & Prawn Pilaf,['Family Box'],"['Crustaceans', 'Mustard', 'Milk']"
1009,1119,"['2414 kJ', '577 kcal', '25.0 g', '7.0 g', '56 g', '20.0 g', '8 g', '25 g', '0 mg', '2.67 g']",577,25,56,25,"['Wholemeal Tortilla', 'Echalion Shallot', 'Garlic Clove', 'Bell Pepper', 'Courgette', 'Mixed Beans', 'Mexican Spice', 'Finely Chopped Tomatoes', 'Vegetable Stock Powder', 'Coriander', 'Cheddar Cheese', 'Avocado', 'Lime']","['2 unit(s)', '1 unit(s)', '2 unit(s)', '1 unit(s)', '1 unit(s)', '1 pack(s)', '1 pot(s)', '1 pack(s)', '1 sachet', '1 bunch(es)', '1 block(s)', '1 unit(s)', '?? unit(s)']",[],"['unit(s)', 'unit(s)', 'unit(s)', 'unit(s)', 'unit(s)', 'pack(s)', 'pot(s)', 'pack(s)', 'sachet', 'bunch(es)', 'block(s)', 'unit(s)', 'unit(s)']","[2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",https://www.hellofresh.co.uk/recipes/mexican-beanie-tostadas-5f59faddf8f9c802c074bc82,"['Tags:Spicy?€?Veggie', 'Allergens:Gluten?€?Celery?€?Milk']",Mexican Beanie Tostadas,"['Spicy', 'Veggie']","['Gluten', 'Celery', 'Milk']"
291,319,"['3381 kJ', '808 kcal', '35.0 g', '11.0 g', '67 g', '20.0 g', '0 g', '61 g', '0 mg', '2.0 g']",808,35,67,61,"['Confit Duck Leg', 'Potatoes', 'Carrot', 'Onion', 'Tomato Puree', 'Cheddar Cheese', 'Garlic Clove', 'Red Wine Stock', 'Water']","['2 unit(s)', '1 pack(s)', '2 unit(s)', '1 unit(s)', '1 sachet', '1 pack(s)', '1 unit(s)', '1 pot(s)', '250 milliliter(s)']","['Saucepan', 'Baking Tray']","['unit(s)', 'pack(s)', 'unit(s)', 'unit(s)', 'sachet', 'pack(s)', 'unit(s)', 'pot(s)', 'milliliter(s)']","[2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 250.0]",https://www.hellofresh.co.uk/recipes/duck-pie-5c700fe7e3f33977cd10baa2,['Allergens:Milk?€?Sulphites'],Duck Pie,['No Tag'],"['Milk', 'Sulphites']"
1102,1220,"['2814 kJ', '673 kcal', '32.0 g', '16.0 g', '43 g', '3.0 g', '5 g', '57 g', '0 mg', '1.35 g']",673,32,43,57,"['Sirloin Steak', 'Potato', 'Garlic', 'Lemon', 'Chives', 'Asparagus', 'Butter', 'King Prawns']","['2 unit(s)', '1 pack(s)', '2 clove', '?? unit(s)', '1 pack(s)', '1 pack(s)', '30 grams', '150 grams']",[],"['unit(s)', 'pack(s)', 'clove', 'unit(s)', 'pack(s)', 'pack(s)', 'grams', 'grams']","[2.0, 1.0, 2.0, 1.0, 1.0, 30.0, 150.0]",https://www.hellofresh.co.uk/recipes/surf-and-turf-with-wedges-5faacbd38f94da54f451bd64,['Allergens:Milk?€?Crustaceans'],Surf and Turf: Sirloin Steak and King Prawns,['No Tag'],"['Milk', 'Crustaceans']"
578,646,"['1954 kJ', '467 kcal', '23.0 g', '8.0 g', '46 g', '19.0 g', '0 g', '19 g', '0 mg', '2.0 g']",467,23,46,19,"['Aubergine', 'Red Onion', 'Garlic Clove', 'Red Pepper', 'Pitted Black Olives', 'Pine Nuts', 'Dried Oregano', 'Tomato Passata', 'Ciabatta', 'Cheddar Cheese']","['2 unit(s)', '1 unit(s)', '2 clove', '1 unit(s)', '30 grams', '25 grams', '1 tbsp', '1 pack(s)', '1 unit(s)', '60 grams']","['Baking Tray', 'Cutting board', 'Knife', 'Grater', 'Bowl', 'Frying Pan']","['unit(s)', 'unit(s)', 'clove', 'unit(s)', 'grams', 'grams', 'tbsp', 'pack(s)', 'unit(s)', 'grams']","[2.0, 1.0, 2.0, 1.0, 30.0, 25.0, 1.0, 1.0, 1.0, 60.0]",https://www.hellofresh.co.uk/recipes/sicilian-caponata-5a6b0d6bae08b5645c6bad34,['Allergens:Nuts?€?Gluten?€?Soya?€?Milk'],Sicilian Caponata,['No Tag'],"['Nuts', 'Gluten', 'Soya', 'Milk']"
194,209,"['2833 kJ', '677 kcal', '42.0 g', '20.0 g', '36 g', '8.0 g', '0 g', '41 g', '0 mg', '1.0 g']",677,42,36,41,"['Chicken Breast (skin-on)', 'New Potatoes', 'Leek', 'Tarragon', 'Chicken Stock Powder', 'Double Cream', 'Flora Original', 'Water']","['2 unit(s)', '1 pack(s)', '2 unit(s)', '?? bunch(es)', '?? sachet', '?? pack(s)', '2 pack(s)', '50 milliliter(s)']","['Baking Tray', 'Cutting board', 'Knife', 'Saucepan', 'Strainer', 'Frying Pan', 'Spoon', 'Plate']","['unit(s)', 'pack(s)', 'unit(s)', 'bunch(es)', 'sachet', 'pack(s)', 'pack(s)', 'milliliter(s)']","[2.0, 1.0, 2.0, 2.0, 50.0]",https://www.hellofresh.co.uk/recipes/crispy-chicken-5b6d68db30006c06284b32c2,['Allergens:Celery?€?Milk?€?Soya'],Crispy Chicken,['No Tag'],"['Celery', 'Milk', 'Soya']"
1054,1168,"['910 kJ', '218 kcal', '12.0 g', '3.0 g', '17 g', '15.0 g', '8 g', '7 g', '0 mg', '1.0 g']",218,12,17,7,"['Aubergine', 'Baharat', 'Garlic Clove', 'Greek Yoghurt', 'Harissa Paste', 'Spring Onion']","['2 unit(s)', '1 sachet', '2 unit(s)', '75 grams', '?? sachet', '2 unit(s)']",[],"['unit(s)', 'sachet', 'unit(s)', 'grams', 'sachet', 'unit(s)']","[2.0, 1.0, 2.0, 75.0, 2.0]",https://www.hellofresh.co.uk/recipes/spicy-baharat-roasted-aubergine-5fdb8026f6faec4b2d024576,"['Tags:Veggie', 'Allergens:Milk']",Spicy Baharat Roasted Aubergine,['Veggie'],['Milk']
