ingreds,recipe,quant,ingred,Proper,Name,Price,units,Quantity,QUnit,Qunat_recipe,unit_recipe,stand_quant
Diced Chicken Thigh,Speedy Zanzibar Chicken Curry,280 grams,Diced Chicken Thigh,roast chicken thighs,Roast Chicken Thighs 500g,3,500g,500,g,280,grams,0.56
Baby Corn,Speedy Zanzibar Chicken Curry,1 pack(s),Baby Corn,babycorn,Babycorn 175g,1.6,175g,175,g,1,pack(s),1
Green Beans,Speedy Zanzibar Chicken Curry,1 pack(s),Green Beans,cut french green beans in water,Cut French Green Beans In Water 400g (225g*),0.8,400g,400,g,1,pack(s),1
Red Pepper,Speedy Zanzibar Chicken Curry,1 unit(s),Red Pepper,red pepper,Red Pepper,0.45,x1,1,unit,1,unit(s),1
Tomato Puree,Speedy Zanzibar Chicken Curry,1 sachet,Tomato Puree,tomato puree double concentrate,"Tomato Puree, Double Concentrate 200g",0.35,200g,200,g,1,sachet,1
Zanzibar Curry Spice Mix,Speedy Zanzibar Chicken Curry,1 pot(s),Zanzibar Curry Spice Mix,natco curry powder,Natco Curry Powder 100g,0.8,100g,100,g,1,pot(s),1
Chicken Stock Powder,Speedy Zanzibar Chicken Curry,1 sachet,Chicken Stock Powder,Chicken Stock Powder,Oxo Reduced Salt Chicken Stock Cubes x12 71g,1,71g,71,g,1,sachet,1
Reduced Fat Creme Fraiche,Speedy Zanzibar Chicken Curry,75 grams,Reduced Fat Creme Fraiche,yeo valley organic half fat creme fraiche,Yeo Valley Organic Half Fat Creme Fraiche 200g,1.1,200g,200,g,75,grams,0.375
Basmati Rice,Speedy Zanzibar Chicken Curry,1 pack(s),Basmati Rice,laila basmati rice,Laila Basmati Rice 5kg,8,5k,5000,g,1,pack(s),1
Water,Speedy Zanzibar Chicken Curry,1 unit(s),Water,Water,Water,0,x1,1,unit,1,unit(s),1
Diced Chicken Breast,Zanzibar Chicken Curry,1 pack(s),Diced Chicken Breast,british fresh diced chicken breast,British Fresh Diced Chicken Breast 410g,2.4,410g,410,g,1,pack(s),1
Green Pepper,Zanzibar Chicken Curry,1 unit(s),Green Pepper,green pepper,Green Pepper,0.45,x1,1,unit,1,unit(s),1
Coriander,Zanzibar Chicken Curry,1 bunch(es),Coriander,natco coriander ground,Natco Coriander Ground 100g,0.8,100g,100,g,1,bunch(es),1
Lime,Zanzibar Chicken Curry,1 unit(s),Lime,limes,Limes,0.19,x1,1,unit,1,unit(s),1
Tomato Puree,Zanzibar Chicken Curry,1 sachet,Tomato Puree,tomato puree double concentrate,"Tomato Puree, Double Concentrate 200g",0.35,200g,200,g,1,sachet,1
Zanzibar Curry Spice Mix,Zanzibar Chicken Curry,1 pot(s),Zanzibar Curry Spice Mix,natco curry powder,Natco Curry Powder 100g,0.8,100g,100,g,1,pot(s),1
Light Coconut Milk,Zanzibar Chicken Curry,1 tin(s),Light Coconut Milk,coconut milk light,Coconut Milk Light 400g,0.9,400g,400,g,1,tin(s),1
Chicken Stock Powder,Zanzibar Chicken Curry,1 pot(s),Chicken Stock Powder,Chicken Stock Powder,Oxo Reduced Salt Chicken Stock Cubes x12 71g,1,71g,71,g,1,pot(s),1
Basmati Rice,Zanzibar Chicken Curry,250 grams,Basmati Rice,laila basmati rice,Laila Basmati Rice 5kg,8,5k,5000,g,250,grams,0.05
Chicken Thighs,African Chicken Curry,8 unit(s),Chicken Thighs,roast chicken thighs,Roast Chicken Thighs 500g,3,500g,500,g,8,unit(s),8
Curry Powder,African Chicken Curry,1.5 tsp,Curry Powder,tikka curry powder,Tikka Curry Powder 90g,1,90g,90,g,1.5,tsp,0.05
Red Onion,African Chicken Curry,1 unit(s),Red Onion,red onions loose,Red Onions Loose,1,x1,1,unit,1,unit(s),1
Garlic Clove,African Chicken Curry,1 unit(s),Garlic Clove,garlic,Garlic,0.25,x1,1,unit,1,unit(s),1
Ginger,African Chicken Curry,1 unit(s),Ginger,ground ginger,Ground Ginger 38g,0.85,38g,38,g,1,unit(s),1
Chopped Tomatoes,African Chicken Curry,1 tin(s),Chopped Tomatoes,napolina chopped tomatoes,Napolina Chopped Tomatoes 400g,1,400g,400,g,1,tin(s),1
Chicken Stock Pot,African Chicken Curry,1 unit(s),Chicken Stock Pot,oxo vegetable stock cubes,Oxo Vegetable Stock Cubes x12 71g,1.6,71g,71,g,1,unit(s),1
Cardamom Pod,African Chicken Curry,4 unit(s),Cardamom Pod,Cardamom Pod,Fudco Bold Green Cardamom 50g,3.5,50g,50,g,4,unit(s),4
Ground Turmeric,African Chicken Curry,1 tsp,Ground Turmeric,turmeric,Turmeric 48g,0.85,48g,48,g,1,tsp,0.0625
Basmati Rice,African Chicken Curry,350 grams,Basmati Rice,laila basmati rice,Laila Basmati Rice 5kg,8,5k,5000,g,350,grams,0.07
Green Beans,African Chicken Curry,1 pack(s),Green Beans,cut french green beans in water,Cut French Green Beans In Water 400g (225g*),0.8,400g,400,g,1,pack(s),1
Flat Leaf Parsley,African Chicken Curry,1 bunch(es),Flat Leaf Parsley,fresh packed flat leaf parsley,Fresh Packed Flat Leaf Parsley 30g,0.75,30g,30,g,1,bunch(es),1
Red Pepper,African Chicken Curry,1 unit(s),Red Pepper,red pepper,Red Pepper,0.45,x1,1,unit,1,unit(s),1
Water,African Chicken Curry,1 unit(s),Water,Water,Water,0,x1,1,unit,1,unit(s),1
Couscous,Spiced Fennel Sausages with Herbed Couscous,1 cup(s),Couscous,alfez moroccan spiced couscous,Al'Fez Moroccan Spiced Couscous 200g,1.5,200g,200,g,1,cup(s),1
Red Onion,Spiced Fennel Sausages with Herbed Couscous,1 unit(s),Red Onion,red onions loose,Red Onions Loose,1,x1,1,unit,1,unit(s),1
Garlic Clove,Spiced Fennel Sausages with Herbed Couscous,1 unit(s),Garlic Clove,garlic,Garlic,0.25,x1,1,unit,1,unit(s),1
Orange Pepper,Spiced Fennel Sausages with Herbed Couscous,1 unit(s),Orange Pepper,orange pepper,Orange Pepper,0.45,x1,1,unit,1,unit(s),1
Chermoula Spice,Spiced Fennel Sausages with Herbed Couscous,2 tsp,Chermoula Spice,harissa spices,Harissa Spices 45g,2.1,45g,45,g,2,tsp,0.133333333
Tomato Passata,Spiced Fennel Sausages with Herbed Couscous,1 unit(s),Tomato Passata,mutti double concentrate tomato,Mutti Double Concentrate Tomato 130g,1.2,130g,130,g,1,unit(s),1
Tuscan Pork Sausage,Spiced Fennel Sausages with Herbed Couscous,4 unit(s),Tuscan Pork Sausage,butchers choice pork sausages,Butcher's Choice Pork Sausages x8 454g,1.5,454g,454,g,4,unit(s),4
Mint,Spiced Fennel Sausages with Herbed Couscous,5 tbsp,Mint,mint,Mint 12g,0.85,12g,12,g,5,tbsp,6.25
Flat Leaf Parsley,Spiced Fennel Sausages with Herbed Couscous,5 tbsp,Flat Leaf Parsley,fresh packed flat leaf parsley,Fresh Packed Flat Leaf Parsley 30g,0.75,30g,30,g,5,tbsp,2.5
Lemon,Spiced Fennel Sausages with Herbed Couscous,1 unit(s),Lemon,lemons,Lemons,0.3,x1,1,unit,1,unit(s),1
Natural Yoghurt,Spiced Fennel Sausages with Herbed Couscous,1 pot(s),Natural Yoghurt,yeo valley organic natural yogurt,Yeo Valley Organic Natural Yogurt 150g,0.55,150g,150,g,1,pot(s),1
Duck Breast,Duck Steaks,2 unit(s),Duck Breast,gressingham duck breast portions,Gressingham Duck Breast Portions 250g,4.25,250g,250,g,2,unit(s),2
Sweet Potato,Duck Steaks,1 unit(s),Sweet Potato,sweet potato,Sweet Potato 1.25kg,1.5,1.25k,1250,g,1,unit(s),1
Garlic Clove,Duck Steaks,1 unit(s),Garlic Clove,garlic,Garlic,0.25,x1,1,unit,1,unit(s),1
Chickpeas,Duck Steaks,1 unit(s),Chickpeas,chickpeas in water,Chickpeas in Water 400g (240g*),0.55,400g,400,g,1,unit(s),1
Ras-el-Hanout,Duck Steaks,1 tbsp,Ras-el-Hanout,Ras-el-Hanout,Sainsbury's Ras El Hanout 45g,2.1,45g,45,g,1,tbsp,0.333333333
Baby Spinach,Duck Steaks,1 unit(s),Baby Spinach,young spinach,Young Spinach 260g,1.5,260g,260,g,1,unit(s),1
Natural Yoghurt,Duck Steaks,4 tbsp,Natural Yoghurt,yeo valley organic natural yogurt,Yeo Valley Organic Natural Yogurt 150g,0.55,150g,150,g,4,tbsp,0.4
Lemon,Duck Steaks,1 unit(s),Lemon,lemons,Lemons,0.3,x1,1,unit,1,unit(s),1
Tomato Puree,Duck Steaks,1 tbsp,Tomato Puree,tomato puree double concentrate,"Tomato Puree, Double Concentrate 200g",0.35,200g,200,g,1,tbsp,0.075
Carrot,Chermoula Chicken,1 unit(s),Carrot,carrots,Carrots 1kg,0.41,1k,1000,g,1,unit(s),1
Onion,Chermoula Chicken,1 unit(s),Onion,onions,Onions 1kg,0.85,1k,1000,g,1,unit(s),1
Red Pepper,Chermoula Chicken,1 unit(s),Red Pepper,red pepper,Red Pepper,0.45,x1,1,unit,1,unit(s),1
Garlic Clove,Chermoula Chicken,1 unit(s),Garlic Clove,garlic,Garlic,0.25,x1,1,unit,1,unit(s),1
Coriander,Chermoula Chicken,3 tbsp,Coriander,natco coriander ground,Natco Coriander Ground 100g,0.8,100g,100,g,3,tbsp,0.45
Ras-el-Hanout,Chermoula Chicken,1 tbsp,Ras-el-Hanout,Ras-el-Hanout,Sainsbury's Ras El Hanout 45g,2.1,45g,45,g,1,tbsp,0.333333333
Lemon,Chermoula Chicken,1 unit(s),Lemon,lemons,Lemons,0.3,x1,1,unit,1,unit(s),1
Chicken Thighs,Chermoula Chicken,4 unit(s),Chicken Thighs,roast chicken thighs,Roast Chicken Thighs 500g,3,500g,500,g,4,unit(s),4
Chorizo,Chermoula Chicken,1 unit(s),Chorizo,spanish chorizo rin,Spanish Chorizo Ring 225g,2.25,225g,225,g,1,unit(s),1
Organic Lentils,Chermoula Chicken,1 tin(s),Organic Lentils,dried green lentils,Dried Green Lentils 500g,1.15,500g,500,g,1,tin(s),1
Sirloin Steak,Sirloin Steak and Chorizo Salsa,2 unit(s),Sirloin Steak,   day matured sirloin steak taste the difference,"30 Day Matured Sirloin Steak, Taste the Difference 225g",4.5,225g,225,g,2,unit(s),2
Potato,Sirloin Steak and Chorizo Salsa,450 grams,Potato,baby potatoes,Baby Potatoes 1kg,0.9,1k,1000,g,450,grams,0.45
Smoked Paprika,Sirloin Steak and Chorizo Salsa,1 sachet,Smoked Paprika,smoked paprika,Smoked Paprika 44g,0.9,44g,44,g,1,sachet,1
Vine Tomatoes,Sirloin Steak and Chorizo Salsa,2 unit(s),Vine Tomatoes,chopped tomatoes can,Chopped Tomatoes Can 400g,0.35,400g,400,g,2,unit(s),2
Garlic Clove,Sirloin Steak and Chorizo Salsa,1 unit(s),Garlic Clove,garlic,Garlic,0.25,x1,1,unit,1,unit(s),1
Rocket,Sirloin Steak and Chorizo Salsa,40 grams,Rocket,spinach watercress and rocket salad,"Spinach, Watercress & Rocket Salad 80g",1.3,80g,80,g,40,grams,0.5
Chorizo,Sirloin Steak and Chorizo Salsa,60 grams,Chorizo,spanish chorizo rin,Spanish Chorizo Ring 225g,2.25,225g,225,g,60,grams,0.266666667
Red Wine Vinegar,Sirloin Steak and Chorizo Salsa,1 unit(s),Red Wine Vinegar,Red Wine Vinegar,"Sainsbury's Wine Vinegar, Red Wine 500ml",0.99,500m,500,ml,1,unit(s),1
Olive Oil,Sirloin Steak and Chorizo Salsa,1 tbsp,Olive Oil,olive oil extra virgin  l,"Olive Oil, Extra Virgin 1L",3.4,1L,1000,ml,1,tbsp,0.017
Potatoes,Roast Lamb with Salsa Verde and Roast Potatoes,700 grams,Potatoes,maris piper potatoes,Maris Piper Potatoes 2.5kg,1.39,2.5k,2500,g,700,grams,0.28
Plain Flour,Roast Lamb with Salsa Verde and Roast Potatoes,24 grams,Plain Flour,plain flour,Plain Flour 1.5kg,0.45,1.5k,1500,g,24,grams,0.016
Lamb Roasting Joint,Roast Lamb with Salsa Verde and Roast Potatoes,450 grams,Lamb Roasting Joint,lamb whole le,Lamb Whole Leg,11,x1,1,unit,450,grams,1
Chantenay Carrot,Roast Lamb with Salsa Verde and Roast Potatoes,250 grams,Chantenay Carrot,carrots,Carrots 1kg,0.41,1k,1000,g,250,grams,0.25
Mint,Roast Lamb with Salsa Verde and Roast Potatoes,1 pack(s),Mint,mint,Mint 12g,0.85,12g,12,g,1,pack(s),1
Capers,Roast Lamb with Salsa Verde and Roast Potatoes,15 grams,Capers,Capers,Sainsbury's Capucine Capers 198g (125g*),1.5,198g,198,g,15,grams,0.075757576
Lemon,Roast Lamb with Salsa Verde and Roast Potatoes,1 unit(s),Lemon,lemons,Lemons,0.3,x1,1,unit,1,unit(s),1
Butter,Roast Lamb with Salsa Verde and Roast Potatoes,1 unit(s),Butter,butterlicious spread,Butterlicious Spread 500g,1,500g,500,g,1,unit(s),1
Chicken Stock Powder,Roast Lamb with Salsa Verde and Roast Potatoes,1 sachet,Chicken Stock Powder,Chicken Stock Powder,Oxo Reduced Salt Chicken Stock Cubes x12 71g,1,71g,71,g,1,sachet,1
Sweetheart Cabbage,Roast Lamb with Salsa Verde and Roast Potatoes,1 unit(s),Sweetheart Cabbage,sweetheart cabbage,Sweetheart Cabbage,0.6,x1,1,unit,1,unit(s),1
Garlic Clove,Roast Lamb with Salsa Verde and Roast Potatoes,1 clove,Garlic Clove,garlic,Garlic,0.25,x1,1,unit,1,clove,1
Olive Oil,Roast Lamb with Salsa Verde and Roast Potatoes,1 tbsp,Olive Oil,olive oil extra virgin  l,"Olive Oil, Extra Virgin 1L",3.4,1L,1000,ml,1,tbsp,0.017
Water for Gravy,Roast Lamb with Salsa Verde and Roast Potatoes,400 milliliter(s),Water for Gravy,Water for Gravy,Water,0,x1,1,unit,400,milliliter(s),1
Potato,Mushroom and Goat's Cheese Burger,450 grams,Potato,baby potatoes,Baby Potatoes 1kg,0.9,1k,1000,g,450,grams,0.45
Red Onion,Mushroom and Goat's Cheese Burger,1 unit(s),Red Onion,red onions loose,Red Onions Loose,1,x1,1,unit,1,unit(s),1
Balsamic Vinegar,Mushroom and Goat's Cheese Burger,2 sachet,Balsamic Vinegar,balsamic vinegar,Balsamic Vinegar 250ml,1.2,250m,250,ml,2,sachet,2
Portobello Mushroom,Mushroom and Goat's Cheese Burger,2 unit(s),Portobello Mushroom,baby button mushrooms,Baby Button Mushrooms 200g,1.1,200g,200,g,2,unit(s),2
Goat's Cheese,Mushroom and Goat's Cheese Burger,60 grams,Goat's Cheese,abergavenny goats cheese,Abergavenny Goats Cheese 125g,1.85,125g,125,g,60,grams,0.48
Ciabatta,Mushroom and Goat's Cheese Burger,2 unit(s),Ciabatta,Ciabtta,"Sainsbury's Half Ciabatta, Taste the Difference x2",1.75,x2,2,unit,2,unit(s),1
Pea Shoots,Mushroom and Goat's Cheese Burger,40 grams,Pea Shoots,Pea Shoots,Sainsbury's Pea Shoots 50g,1,50g,50,g,40,grams,0.8
Echalion Shallot,Pan Fried Halloumi,1 unit(s),Echalion Shallot,Echalion Shallot,Sainsbury's Shallots 400g,1.2,400g,400,g,1,unit(s),1
Green Pepper,Pan Fried Halloumi,1 unit(s),Green Pepper,green pepper,Green Pepper,0.45,x1,1,unit,1,unit(s),1
Baby Plum Tomatoes,Pan Fried Halloumi,125 grams,Baby Plum Tomatoes,baby plum tomatoes,Baby Plum Tomatoes 250g,0.75,250g,250,g,125,grams,0.5
Halloumi,Pan Fried Halloumi,250 grams,Halloumi,cypriot halloumi cheese,Cypriot Halloumi Cheese 225g,2.3,225g,225,g,250,grams,1.111111111
Tomato Puree,Pan Fried Halloumi,1 sachet,Tomato Puree,tomato puree double concentrate,"Tomato Puree, Double Concentrate 200g",0.35,200g,200,g,1,sachet,1
Bulgur Wheat,Pan Fried Halloumi,120 grams,Bulgur Wheat,Bulgur Wheat,Sainsbury's Cracked Bulgur Wheat 500g,1.15,500g,500,g,120,grams,0.24
Vegetable Stock Powder,Pan Fried Halloumi,1 sachet,Vegetable Stock Powder,oxo vegetable stock cubes,Oxo Vegetable Stock Cubes x12 71g,1.6,71g,71,g,1,sachet,1
Fresh Chilli Jam,Pan Fried Halloumi,1 pot(s),Fresh Chilli Jam,sweet chilli sauce,Sweet Chilli Sauce 345g,1.2,345g,345,g,1,pot(s),1
Water for the Bulgur,Pan Fried Halloumi,240 milliliter(s),Water for the Bulgur,Water for the Bulgur,Water,0,x1,1,unit,240,milliliter(s),1
Potato,Colcannon Cottage Pie,450 grams,Potato,baby potatoes,Baby Potatoes 1kg,0.9,1k,1000,g,450,grams,0.45
Kale,Colcannon Cottage Pie,100 grams,Kale,kale,Kale 200g,0.8,200g,200,g,100,grams,0.5
Beef Mince,Colcannon Cottage Pie,240 grams,Beef Mince,beef mince   fat,Beef Mince 5% Fat 500g,2.59,500g,500,g,240,grams,0.48
Carrot,Colcannon Cottage Pie,1 unit(s),Carrot,carrots,Carrots 1kg,0.41,1k,1000,g,1,unit(s),1
Onion,Colcannon Cottage Pie,1 unit(s),Onion,onions,Onions 1kg,0.85,1k,1000,g,1,unit(s),1
Garlic Clove,Colcannon Cottage Pie,1 clove,Garlic Clove,garlic,Garlic,0.25,x1,1,unit,1,clove,1
Spring Onion,Colcannon Cottage Pie,1 unit(s),Spring Onion,spring onions bunch,Spring Onions Bunch 100g,0.37,100g,100,g,1,unit(s),1
Cheddar Cheese,Colcannon Cottage Pie,1 unit(s),Cheddar Cheese,british medium cheddar cheese slices,British Medium Cheddar Cheese Slices 240g,1.7,240g,240,g,1,unit(s),1
Red Wine Jus Paste,Colcannon Cottage Pie,1 pot(s),Red Wine Jus Paste,Red Wine Jus Paste,Just Add Red Wine 36g,2.5,36g,36,g,1,pot(s),1
Water for the Sauce,Colcannon Cottage Pie,1 unit(s),Water for the Sauce,Water for the Sauce,Water for the Sauce,0,x1,1,unit,1,unit(s),1
Whole Chicken,Thyme Roasted Chicken,1 unit(s),Whole Chicken,british fresh small whole chicken,British Fresh Small Whole Chicken 1.3kg,2.8,1.3k,1300,g,1,unit(s),1
Dried Thyme,Thyme Roasted Chicken,1 pot(s),Dried Thyme,thyme,Thyme 12g,0.85,12g,12,g,1,pot(s),1
Garlic,Thyme Roasted Chicken,4 unit(s),Garlic,garlic,Garlic,0.25,x1,1,unit,4,unit(s),4
Potato,Thyme Roasted Chicken,700 grams,Potato,baby potatoes,Baby Potatoes 1kg,0.9,1k,1000,g,700,grams,0.7
Red Cabbage,Thyme Roasted Chicken,1 unit(s),Red Cabbage,sweetheart cabbage,Sweetheart Cabbage,0.6,x1,1,unit,1,unit(s),1
Leek,Thyme Roasted Chicken,2 unit(s),Leek,leeks,Leeks 500g,1,500g,500,g,2,unit(s),2
Cheddar Cheese,Thyme Roasted Chicken,1 unit(s),Cheddar Cheese,british medium cheddar cheese slices,British Medium Cheddar Cheese Slices 240g,1.7,240g,240,g,1,unit(s),1
Flour,Thyme Roasted Chicken,24 grams,Flour,plain flour,Plain Flour 1.5kg,0.45,1.5k,1500,g,24,grams,0.016
Apple Juice,Thyme Roasted Chicken,1 pack(s),Apple Juice,braeburn apples,Braeburn Apples x6,1.6,x6,6,unit,1,pack(s),0.166666667
Star Anise,Thyme Roasted Chicken,1 pot(s),Star Anise,Star Anise,Sainsbury's Star Anise 15g,1,15g,15,g,1,pot(s),1
Creme Fraiche,Thyme Roasted Chicken,75 grams,Creme Fraiche,yeo valley organic half fat creme fraiche,Yeo Valley Organic Half Fat Creme Fraiche 200g,1.1,200g,200,g,75,grams,0.375
Chicken Stock Powder,Thyme Roasted Chicken,1 pot(s),Chicken Stock Powder,Chicken Stock Powder,Oxo Reduced Salt Chicken Stock Cubes x12 71g,1,71g,71,g,1,pot(s),1
Water for Gravy,Thyme Roasted Chicken,400 milliliter(s),Water for Gravy,Water for Gravy,Water,0,x1,1,unit,400,milliliter(s),1
Salad Potatoes,Pan-Fried Monkfish with Roasted Fennel,350 grams,Salad Potatoes,vivaldi salad potatoes taste the difference,"Vivaldi Salad Potatoes, Taste the Difference 1kg",1.6,1k,1000,g,350,grams,0.35
Fennel,Pan-Fried Monkfish with Roasted Fennel,1 unit(s),Fennel,baby fennel,Baby Fennel 200g,1.4,200g,200,g,1,unit(s),1
Baby Plum Tomatoes,Pan-Fried Monkfish with Roasted Fennel,125 grams,Baby Plum Tomatoes,baby plum tomatoes,Baby Plum Tomatoes 250g,0.75,250g,250,g,125,grams,0.5
Lemon,Pan-Fried Monkfish with Roasted Fennel,1 unit(s),Lemon,lemons,Lemons,0.3,x1,1,unit,1,unit(s),1
Dill,Pan-Fried Monkfish with Roasted Fennel,1 bunch(es),Dill,bunched dill,Bunched Dill 20g,0.65,20g,20,g,1,bunch(es),1
Butter,Pan-Fried Monkfish with Roasted Fennel,1 unit(s),Butter,butterlicious spread,Butterlicious Spread 500g,1,500g,500,g,1,unit(s),1
White Wine Vinegar,Pan-Fried Monkfish with Roasted Fennel,1 sachet,White Wine Vinegar,wine vinegar white wine,"Wine Vinegar, White Wine 500ml",0.99,500m,500,ml,1,sachet,1
Monkfish Medallions,Pan-Fried Monkfish with Roasted Fennel,200 grams,Monkfish Medallions,Monkfish Medallions,Sainsbury's Fishmonger's Monkfish Fillets (approx. 170g),7.26,170g,170,g,200,grams,1.176470588
Samphire,Pan-Fried Monkfish with Roasted Fennel,40 grams,Samphire,Samphire,Sainsbury's Samphire 70g,1.2,70g,70,g,40,grams,0.571428571
Potato,"Roast Potato, Bacon and Crispy Kale Salad",450 grams,Potato,baby potatoes,Baby Potatoes 1kg,0.9,1k,1000,g,450,grams,0.45
Red Onion,"Roast Potato, Bacon and Crispy Kale Salad",1 unit(s),Red Onion,red onions loose,Red Onions Loose,1,x1,1,unit,1,unit(s),1
Carrot,"Roast Potato, Bacon and Crispy Kale Salad",2 unit(s),Carrot,carrots,Carrots 1kg,0.41,1k,1000,g,2,unit(s),2
Garlic Clove,"Roast Potato, Bacon and Crispy Kale Salad",1 unit(s),Garlic Clove,garlic,Garlic,0.25,x1,1,unit,1,unit(s),1
Plain Flour,"Roast Potato, Bacon and Crispy Kale Salad",8 grams,Plain Flour,plain flour,Plain Flour 1.5kg,0.45,1.5k,1500,g,8,grams,0.005333333
Ground Cumin,"Roast Potato, Bacon and Crispy Kale Salad",1 sachet,Ground Cumin,ground cumin,Ground Cumin 43g,0.85,43g,43,g,1,sachet,1
Honey,"Roast Potato, Bacon and Crispy Kale Salad",2 sachet,Honey,Honey,Rowse Natural Blossom Honey Squeezy 340g,2.85,340g,340,g,2,sachet,2
Flaked Almonds,"Roast Potato, Bacon and Crispy Kale Salad",25 grams,Flaked Almonds,fudco whole almonds,Fudco Whole Almonds 500g,7,500g,500,g,25,grams,0.05
Bacon Lardons,"Roast Potato, Bacon and Crispy Kale Salad",90 grams,Bacon Lardons,unsmoked back bacon rashers,Unsmoked Back Bacon Rashers x16 500g,2.85,500g,500,g,90,grams,0.18
Balsamic Vinegar,"Roast Potato, Bacon and Crispy Kale Salad",1 sachet,Balsamic Vinegar,balsamic vinegar,Balsamic Vinegar 250ml,1.2,250m,250,ml,1,sachet,1
Kale,"Roast Potato, Bacon and Crispy Kale Salad",100 grams,Kale,kale,Kale 200g,0.8,200g,200,g,100,grams,0.5
Potatoes,Cheese Burger,450 grams,Potatoes,maris piper potatoes,Maris Piper Potatoes 2.5kg,1.39,2.5k,2500,g,450,grams,0.18
Tomato Ketchup,Cheese Burger,1 sachet,Tomato Ketchup,heinz tomato ketchup fiery chilli,Heinz Tomato Ketchup Fiery Chilli 255g,1.3,255g,255,g,1,sachet,1
Panko Breadcrumbs,Cheese Burger,25 grams,Panko Breadcrumbs,yutaka panko breadcrumbs,Yutaka Panko Breadcrumbs 180g,1.8,180g,180,g,25,grams,0.138888889
Beef Mince,Cheese Burger,240 grams,Beef Mince,beef mince   fat,Beef Mince 5% Fat 500g,2.59,500g,500,g,240,grams,0.48
Cheddar Cheese,Cheese Burger,1 unit(s),Cheddar Cheese,british medium cheddar cheese slices,British Medium Cheddar Cheese Slices 240g,1.7,240g,240,g,1,unit(s),1
Coleslaw Mix,Cheese Burger,120 grams,Coleslaw Mix,Coleslaw Mix,Sainsbury's Coleslaw Kit Pack,1,x1,1,unit,120,grams,1
Mayonnaise,Cheese Burger,2 sachet,Mayonnaise,Mayonnaise,"Sainsbury's Mayonnaise, Thick & Creamy 500ml",0.9,500m,500,ml,2,sachet,2
Seeded Burger Bun,Cheese Burger,2 unit(s),Seeded Burger Bun,Seeded Burger Bun,"Sainsbury's Brioche Burger Buns, Taste the Difference x2",1,x2,2,unit,2,unit(s),1
Pistachios,Buttermilk Pancakes and Honey Roasted Figs,25 grams,Pistachios,Pistachios,Sainsbury's Roasted Salted Pistachios 300g,3.5,300g,300,g,25,grams,0.083333333
Honey,Buttermilk Pancakes and Honey Roasted Figs,2 sachet,Honey,Honey,Rowse Natural Blossom Honey Squeezy 340g,2.85,340g,340,g,2,sachet,2
Greek Yoghurt,Buttermilk Pancakes and Honey Roasted Figs,225 grams,Greek Yoghurt,greek style natural yogurt,Greek Style Natural Yogurt 500g,0.85,500g,500,g,225,grams,0.45
Fig Jam,Buttermilk Pancakes and Honey Roasted Figs,1 sachet,Fig Jam,Fig Jam,Bonne Maman Fig Conserve 370g,2.6,370g,370,g,1,sachet,1
Potato,Bacon Wrapped Pork and Onion Gravy,700 grams,Potato,baby potatoes,Baby Potatoes 1kg,0.9,1k,1000,g,700,grams,0.7
Pork Roasting Joint,Bacon Wrapped Pork and Onion Gravy,450 grams,Pork Roasting Joint,roast beef topside sliced taste the difference,"Roast Beef Topside Sliced, Taste the Difference 110g",2.75,110g,110,g,450,grams,4.090909091
Streaky Bacon,Bacon Wrapped Pork and Onion Gravy,4 unit(s),Streaky Bacon,unsmoked streaky bacon rashers,Unsmoked Streaky Bacon Rashers 300g,2,300g,300,g,4,unit(s),4
Plain Flour,Bacon Wrapped Pork and Onion Gravy,24 grams,Plain Flour,plain flour,Plain Flour 1.5kg,0.45,1.5k,1500,g,24,grams,0.016
Red Cabbage,Bacon Wrapped Pork and Onion Gravy,1 unit(s),Red Cabbage,sweetheart cabbage,Sweetheart Cabbage,0.6,x1,1,unit,1,unit(s),1
Soy Sauce,Bacon Wrapped Pork and Onion Gravy,1 sachet,Soy Sauce,kikkoman soy sauce,Kikkoman Soy Sauce 500g,3.65,500g,500,g,1,sachet,1
Balsamic Vinegar,Bacon Wrapped Pork and Onion Gravy,1 sachet,Balsamic Vinegar,balsamic vinegar,Balsamic Vinegar 250ml,1.2,250m,250,ml,1,sachet,1
Butter,Bacon Wrapped Pork and Onion Gravy,1 unit(s),Butter,butterlicious spread,Butterlicious Spread 500g,1,500g,500,g,1,unit(s),1
Chicken Stock Powder,Bacon Wrapped Pork and Onion Gravy,1 sachet,Chicken Stock Powder,Chicken Stock Powder,Oxo Reduced Salt Chicken Stock Cubes x12 71g,1,71g,71,g,1,sachet,1
Original Onion Marmalade,Bacon Wrapped Pork and Onion Gravy,1 pot(s),Original Onion Marmalade,onion relish,Onion Relish 320g,1.2,320g,320,g,1,pot(s),1
Green Beans,Bacon Wrapped Pork and Onion Gravy,1 pack(s),Green Beans,cut french green beans in water,Cut French Green Beans In Water 400g (225g*),0.8,400g,400,g,1,pack(s),1
Sugar,Bacon Wrapped Pork and Onion Gravy,1 tsp,Sugar,white granulated sugar,White Granulated Sugar 1kg,0.75,1k,1000,g,1,tsp,0.003
Water for Cabbage,Bacon Wrapped Pork and Onion Gravy,75 milliliter(s),Water for Cabbage,Water for Cabbage,Water for Cabbage,0,x1,1,unit,75,milliliter(s),1
Water for Gravy,Bacon Wrapped Pork and Onion Gravy,400 milliliter(s),Water for Gravy,Water for Gravy,Water,0,x1,1,unit,400,milliliter(s),1
